Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00251389172206468,-0.00170411083675209,0.153710907380027,0,0,0,59.8811399661577,1.10042426118619,0.0250052547792936,-0.0114923035863779,2.41096861433946,0.00991259808770769,2.78861592604086,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/base_link.STL,,waypoint-1;simplified_static_torso-1/bottom_plate-1,global_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
torso_link,0.0134205873802283,7.7715611723761E-16,0.960815210847854,0,0,0,10.5458312658135,0.431429458076167,5.37357701738128E-18,-5.05951327433657E-05,0.422733767839941,3.5428220100392E-17,0.0190867379596107,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/torso_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/torso_link.STL,,simplified_static_torso-1/80_80_500_bar-1;simplified_static_torso-1/ZED_simple-1;simplified_static_torso-1/realsense_simple-1;upper_torso_2-1/shoulder_plate-4;upper_torso_2-1/mounting_plate-2;upper_torso_2-1/shoulder_simple-1;upper_torso_2-1/shoulder_plate-3;upper_torso_2-1/horizontal_beam_simple-1;upper_torso_2-1/shoulder_plate-2;upper_torso_2-1/shoulder_plate-1;upper_torso_2-1/shoulder_simple-2;upper_torso_2-1/mounting_plate-1;stereo_mike-1;speaker-1,torso_link,Axis_base_torso,base_torso,fixed,0.0682840549679995,0,-0.0328650000939976,0,0,0,base_link,0,0,0,,,,,,,,,,,,
head_base_link,-1.66533453693773E-16,-4.44089209850063E-16,0.00249999999999995,0,0,0,0.0737168146928194,0.000266191924833222,-4.75666075345556E-19,2.1936286486685E-20,4.10395599934384E-05,4.23072893034907E-20,0.000306924331432107,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/head_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/head_base_link.STL,,Head_URDF-1/Head Mount-1,Head_base_link,,torso_head_base,fixed,0.001108,0,1.3391,0,0,0,torso_link,0,0,0,,,,,,,,,,,,
head_neck1_link,-0.0171621976150749,-3.79645759274183E-11,0.0558163592976595,0,0,0,1.99424005579165,0.00636307121414134,2.33314090737505E-11,0.000332134620334537,0.00611653738686079,8.99706067323195E-12,0.00574807185042476,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/head_neck1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/head_neck1_link.STL,,Head_URDF-1/Neck-1,Head_neck1_link,Head_neck1_z,head_base_neck1,revolute,0,0,0.00499999999999989,0,0,0,head_base_link,0,0,1,1,1,-1.57,1.57,,,,,,,,
head_neck2_link,0.117557233805506,0.0580913659504723,5.3786924775201E-07,0,0,0,3.69751206662782,0.0314801888840978,0.00327810894331112,-1.06209334089342E-07,0.0191002061001758,3.21923976027252E-07,0.0220138214594569,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/head_neck2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/head_neck2_link.STL,,Head_URDF-1/Link-1;Head_URDF-1/Link-2;Head_URDF-1/Head-1;Head_URDF-1/Display-1,Head_neck2_link,Head_neck2_z,head_neck1_neck2,revolute,-0.014108,0,0.1378,1.5708,-1.5708,0,head_neck1_link,0,0,-1,1,1,-1.57,0.785,,,,,,,,
left_base_link,0,1.11022302462516E-16,0.0452500167858338,0,0,0,1.39397162412901,0.00271550342627118,-1.62630325872826E-19,-4.33680868994202E-19,0.00271550342627118,4.33680868994202E-19,0.00319199166031868,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_base_link.STL,,eSeries_UR5e_Base_simple-2,L_base_link,L_base_shoulder,base_left_base,fixed,0.0682840549679994,0.177248737341525,1.24386766943567,2.5261129449194,0.523598775598302,-2.52611294491941,base_link,0,0,0,,,,,,,,,,,,
left_shoulder_link,1.14297319275813E-07,0.00937261893288466,0.0670267729066091,0,0,0,1.69867696887764,0.00442864599419339,-4.10104356702266E-09,2.87401707142233E-10,0.00390531713147106,5.69611570013186E-05,0.0035600426008386,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_shoulder_link.STL,,eSeries_UR5e_2_simple-2,L_shoulder_link,L_base_shoulder,left_base_shoulder,revolute,0,0,0.0990600000000001,0,0,1.5707963267949,left_base_link,0,0,-1,150,3.33,-6.28,6.28,,,,,,,,
left_upperarm_link,1.35809636314654E-07,0.212500030104974,0.0653493983179754,0,0,0,6.31285273346303,0.16990036349023,8.61179154246564E-09,3.01509572191161E-07,0.0127291856529223,-4.74484105434866E-10,0.168139675767775,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_upperarm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_upperarm_link.STL,,eSeries_UR5e_3_simple-2,L_upper_link,L_shoulder_upper,left_shoulder_upperarm,revolute,0,0.0743999999999994,0.0634490000000004,1.5707963267949,-1.5707963267949,0,left_shoulder_link,0,0,1,150,3.33,-6.28,6.28,,,,,,,,
left_forearm_link,-7.44991925927252E-08,0.150537145068109,0.0641679811020659,0,0,0,3.18874318974123,0.0756021338545848,-1.64883032726347E-08,6.14346224933615E-10,0.00433469541115749,-0.00195295037223337,0.0749130409918155,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_forearm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_forearm_link.STL,,eSeries_UR5e_4_simple-2,L_forearm_link,L_upper_forearm,left_upperarm_forearm,revolute,0,0.425,0,3.14159265358979,0,3.14159265358979,left_upperarm_link,0,0,-1,28,3.33,-6.28,6.28,,,,,,,,
left_wrist1_link,-6.79008422821425E-08,-0.00349488600556436,0.0580237753952952,0,0,0,0.63356209986502,0.000995073092670701,1.98275427353749E-10,-3.86408430832997E-10,0.000769001925832068,3.28288005460469E-05,0.000691326411605404,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_wrist1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_wrist1_link.STL,,eSeries_UR5e_5_simple-2,L_wrist1_link,L_forearm_wrist1,left_forearm_wrist1,revolute,0,0.39225,0.0139500000000006,-3.14159265358979,0,1.5707963267949,left_forearm_link,0,0,-1,28,3.33,-6.28,6.28,,,,,,,,
